Pos_Final,País,nombre,constructor,Puntos_Finales
1,Italia,Francesco Bagnaia,Ducati,251
2,España,Jorge Martín,Ducati,205
3,Italia,Marco Bezzecchi,Ducati,189
4,Sudáfrica,Brad Binder,KTM,180
5,Francia,Johann Zarco,Ducati,130
6,Italia,Luca Marini,Ducati,130
7,Australia,Jack Miller,KTM,121
8,España,Aleix Espargaró,Aprilia,117
9,España,Álex Márquez,Ducati,95
10,España,Maverick Viñales,Aprilia,95
11,Francia,Fabio Quartararo,Yamaha,81
12,Italia,Franco Morbidelli,Yamaha,67
13,Portugal,Miguel Oliveira,Aprilia,51
14,España,Augusto Fernández,KTM,51
15,España,Alex Rins,Honda,47
16,Italia,Fabio Di Giannantonio,Ducati,37
17,Japón,Takaaki Nakagami,Honda,34
18,España,Marc Márquez,Honda,26
19,Italia,Enea Bastianini,Ducati,24
20,España,Raúl Fernández,Aprilia,18
21,Alemania,Stefan Bradl,Honda,18
22,España,Dani Pedrosa,KTM,13
23,Alemania,Jonas Folger,KTM,10
24,Italia,Lorenzo Savadori,Aprilia,9
25,España,Pol Espargaró,KTM,8
26,España,Joan Mir,Honda,5
27,Italia,Michele Pirro,Ducati,5
28,Italia,Danilo Petrucci,Ducati,5
29,España,Iker Lecuona Gascón,Honda,0
